,Region,Country of Residence,Age Group,No of Arrivals,Year
123,South-East Asia,Indonesia,35 - 44,20595,2020
124,South-East Asia,Indonesia,45 - 54,15232,2020
125,South-East Asia,Indonesia,55 - 64,8812,2020
126,South-East Asia,Indonesia,65 and Over,3871,2020
127,South-East Asia,Laos,Total,1230521,2015
128,South-East Asia,Laos,Under 25,207544,2015
129,South-East Asia,Laos,25 - 34,282221,2015
130,South-East Asia,Laos,35 - 44,260033,2015
131,South-East Asia,Laos,45 - 54,240817,2015
132,South-East Asia,Laos,55 - 64,160317,2015
133,South-East Asia,Laos,65 and Over,79589,2015
134,South-East Asia,Laos,Total,1414916,2016
135,South-East Asia,Laos,Under 25,312928,2016
136,South-East Asia,Laos,25 - 34,212504,2016
137,South-East Asia,Laos,35 - 44,194670,2016
138,South-East Asia,Laos,45 - 54,284576,2016
139,South-East Asia,Laos,55 - 64,259718,2016
140,South-East Asia,Laos,65 and Over,150520,2016
141,South-East Asia,Laos,Total,1692866,2017
142,South-East Asia,Laos,Under 25,390129,2017
143,South-East Asia,Laos,25 - 34,460872,2017
144,South-East Asia,Laos,35 - 44,335099,2017
145,South-East Asia,Laos,45 - 54,259443,2017
146,South-East Asia,Laos,55 - 64,152666,2017
147,South-East Asia,Laos,65 and Over,94657,2017
148,South-East Asia,Laos,Total,1682304,2018
149,South-East Asia,Laos,Under 25,259332,2018
150,South-East Asia,Laos,25 - 34,480129,2018
151,South-East Asia,Laos,35 - 44,360023,2018
152,South-East Asia,Laos,45 - 54,286079,2018
153,South-East Asia,Laos,55 - 64,172223,2018
154,South-East Asia,Laos,65 and Over,124518,2018
155,South-East Asia,Laos,Total,1856762,2019
156,South-East Asia,Laos,Under 25,280246,2019
157,South-East Asia,Laos,25 - 34,539391,2019
158,South-East Asia,Laos,35 - 44,411800,2019
159,South-East Asia,Laos,45 - 54,296442,2019
160,South-East Asia,Laos,55 - 64,183774,2019
161,South-East Asia,Laos,65 and Over,145109,2019
162,South-East Asia,Laos,Total,382246,2020
163,South-East Asia,Laos,Under 25,58795,2020
164,South-East Asia,Laos,25 - 34,109855,2020
165,South-East Asia,Laos,35 - 44,93459,2020
166,South-East Asia,Laos,45 - 54,59233,2020
167,South-East Asia,Laos,55 - 64,39297,2020
168,South-East Asia,Laos,65 and Over,21607,2020
169,South-East Asia,Malaysia,Total,3407553,2015
170,South-East Asia,Malaysia,Under 25,307759,2015
171,South-East Asia,Malaysia,25 - 34,559479,2015
172,South-East Asia,Malaysia,35 - 44,730387,2015
173,South-East Asia,Malaysia,45 - 54,757491,2015
174,South-East Asia,Malaysia,55 - 64,628690,2015
175,South-East Asia,Malaysia,65 and Over,423747,2015
176,South-East Asia,Malaysia,Total,3506199,2016
177,South-East Asia,Malaysia,Under 25,285029,2016
178,South-East Asia,Malaysia,25 - 34,705094,2016
179,South-East Asia,Malaysia,35 - 44,472223,2016
180,South-East Asia,Malaysia,45 - 54,857826,2016
181,South-East Asia,Malaysia,55 - 64,761752,2016
182,South-East Asia,Malaysia,65 and Over,424275,2016
183,South-East Asia,Malaysia,Total,3493112,2017
184,South-East Asia,Malaysia,Under 25,388668,2017
185,South-East Asia,Malaysia,25 - 34,772111,2017
186,South-East Asia,Malaysia,35 - 44,513536,2017
187,South-East Asia,Malaysia,45 - 54,748078,2017
188,South-East Asia,Malaysia,55 - 64,502431,2017
189,South-East Asia,Malaysia,65 and Over,568288,2017
190,South-East Asia,Malaysia,Total,4042998,2018
191,South-East Asia,Malaysia,Under 25,329691,2018
192,South-East Asia,Malaysia,25 - 34,858375,2018
193,South-East Asia,Malaysia,35 - 44,540329,2018
194,South-East Asia,Malaysia,45 - 54,873996,2018
195,South-East Asia,Malaysia,55 - 64,627539,2018
196,South-East Asia,Malaysia,65 and Over,813068,2018
197,South-East Asia,Malaysia,Total,4274458,2019
198,South-East Asia,Malaysia,Under 25,422439,2019
199,South-East Asia,Malaysia,25 - 34,924106,2019
200,South-East Asia,Malaysia,35 - 44,578333,2019
201,South-East Asia,Malaysia,45 - 54,750076,2019
202,South-East Asia,Malaysia,55 - 64,749878,2019
203,South-East Asia,Malaysia,65 and Over,849626,2019
204,South-East Asia,Malaysia,Total,612922,2020
205,South-East Asia,Malaysia,Under 25,96590,2020
206,South-East Asia,Malaysia,25 - 34,152321,2020
207,South-East Asia,Malaysia,35 - 44,122032,2020
208,South-East Asia,Malaysia,45 - 54,108338,2020
209,South-East Asia,Malaysia,55 - 64,93674,2020
210,South-East Asia,Malaysia,65 and Over,39967,2020
211,South-East Asia,Myanmar,Total,263422,2015
212,South-East Asia,Myanmar,Under 25,51240,2015
213,South-East Asia,Myanmar,25 - 34,54148,2015
214,South-East Asia,Myanmar,35 - 44,61411,2015
215,South-East Asia,Myanmar,45 - 54,52366,2015
216,South-East Asia,Myanmar,55 - 64,32186,2015
217,South-East Asia,Myanmar,65 and Over,12071,2015
218,South-East Asia,Myanmar,Total,363871,2016
219,South-East Asia,Myanmar,Under 25,79388,2016
220,South-East Asia,Myanmar,25 - 34,98514,2016
221,South-East Asia,Myanmar,35 - 44,73287,2016
222,South-East Asia,Myanmar,45 - 54,58032,2016
223,South-East Asia,Myanmar,55 - 64,36833,2016
224,South-East Asia,Myanmar,65 and Over,17817,2016
225,South-East Asia,Myanmar,Total,387722,2017
226,South-East Asia,Myanmar,Under 25,76303,2017
227,South-East Asia,Myanmar,25 - 34,109237,2017
228,South-East Asia,Myanmar,35 - 44,80421,2017
229,South-East Asia,Myanmar,45 - 54,62464,2017
230,South-East Asia,Myanmar,55 - 64,39127,2017
231,South-East Asia,Myanmar,65 and Over,20170,2017
232,South-East Asia,Myanmar,Total,379880,2018
233,South-East Asia,Myanmar,Under 25,75272,2018
234,South-East Asia,Myanmar,25 - 34,106384,2018
235,South-East Asia,Myanmar,35 - 44,75933,2018
236,South-East Asia,Myanmar,45 - 54,60789,2018
237,South-East Asia,Myanmar,55 - 64,39629,2018
238,South-East Asia,Myanmar,65 and Over,21873,2018
239,South-East Asia,Myanmar,Total,389301,2019
240,South-East Asia,Myanmar,Under 25,77269,2019
241,South-East Asia,Myanmar,25 - 34,102453,2019
242,South-East Asia,Myanmar,35 - 44,78892,2019
243,South-East Asia,Myanmar,45 - 54,64952,2019
244,South-East Asia,Myanmar,55 - 64,42976,2019
245,South-East Asia,Myanmar,65 and Over,22759,2019
246,South-East Asia,Myanmar,Total,54941,2020
247,South-East Asia,Myanmar,Under 25,9473,2020
248,South-East Asia,Myanmar,25 - 34,15844,2020
249,South-East Asia,Myanmar,35 - 44,11077,2020
250,South-East Asia,Myanmar,45 - 54,8598,2020
251,South-East Asia,Myanmar,55 - 64,6309,2020
252,South-East Asia,Myanmar,65 and Over,3640,2020
253,South-East Asia,Philippines,Total,301297,2015
254,South-East Asia,Philippines,Under 25,36228,2015
255,South-East Asia,Philippines,25 - 34,77541,2015
256,South-East Asia,Philippines,35 - 44,78985,2015
257,South-East Asia,Philippines,45 - 54,60746,2015
258,South-East Asia,Philippines,55 - 64,34070,2015
259,South-East Asia,Philippines,65 and Over,13727,2015
260,South-East Asia,Philippines,Total,323860,2016
261,South-East Asia,Philippines,Under 25,50443,2016
262,South-East Asia,Philippines,25 - 34,102104,2016
263,South-East Asia,Philippines,35 - 44,71385,2016
264,South-East Asia,Philippines,45 - 54,49571,2016
265,South-East Asia,Philippines,55 - 64,33219,2016
266,South-East Asia,Philippines,65 and Over,17138,2016
267,South-East Asia,Philippines,Total,361218,2017
268,South-East Asia,Philippines,Under 25,50622,2017
269,South-East Asia,Philippines,25 - 34,114005,2017
270,South-East Asia,Philippines,35 - 44,84754,2017
271,South-East Asia,Philippines,45 - 54,57447,2017
272,South-East Asia,Philippines,55 - 64,34769,2017
273,South-East Asia,Philippines,65 and Over,19621,2017
274,South-East Asia,Philippines,Total,407832,2018
275,South-East Asia,Philippines,Under 25,57589,2018
276,South-East Asia,Philippines,25 - 34,130194,2018
277,South-East Asia,Philippines,35 - 44,95798,2018
278,South-East Asia,Philippines,45 - 54,63394,2018
279,South-East Asia,Philippines,55 - 64,38318,2018
280,South-East Asia,Philippines,65 and Over,22539,2018
281,South-East Asia,Philippines,Total,473565,2019
282,South-East Asia,Philippines,Under 25,70911,2019
283,South-East Asia,Philippines,25 - 34,155078,2019
284,South-East Asia,Philippines,35 - 44,105933,2019
285,South-East Asia,Philippines,45 - 54,68271,2019
286,South-East Asia,Philippines,55 - 64,44751,2019
